name,address,양파,대파,계란,밥,다진마늘,당근,청양고추,오이,우유,부추,베이컨,식빵,두부,애호박,감자,어묵,깻잎,참치,콩나물,양배추,스팸,김치,팽이버섯,치즈,무,토마토,라면,새우,돼지고기,비엔나소세지,순두부,떡볶이떡,캔옥수수
쉬운 나물반찬#3♥콩나물 볶음~~,https://www.10000recipe.com/recipe/6927024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[반찬] 명란당근볶음/명란젓 당근볶음/알이 톡톡~단짠한 맛이 최고예요♪,https://www.10000recipe.com/recipe/6956953,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
초간단 고추참치마요 삼각주먹밥 만들기,https://www.10000recipe.com/recipe/6905992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
핵초간단 양배추어묵볶음,https://www.10000recipe.com/recipe/6899335,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
야식이 필요할땐????!!!!! 편의점표 달걀참치콘전 ★,https://www.10000recipe.com/recipe/6917514,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
【초간단】햇마늘쫑 어묵 조림~♥,https://www.10000recipe.com/recipe/6869250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
진짬뽕투움바파스타 만드는법 !,https://www.10000recipe.com/recipe/6939035,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
참치쌈장 - 간단 반찬,https://www.10000recipe.com/recipe/6884950,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
청양고추X단무지 콜라보_매콤고추주먹밥 레시피,https://www.10000recipe.com/recipe/6943806,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
간단하지만 특별한 양파링전,https://www.10000recipe.com/recipe/6907247,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[집밥] 백종원 카레우동 # 초간단 5분이면 완성.,https://www.10000recipe.com/recipe/6865521,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"백종원 부추 달걀 볶음 황금레시피 ,, 초간단 중국식 인기 메뉴 맛있어요~!",https://www.10000recipe.com/recipe/6871467,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
